Viewer,Image,Type,Value,X,Y,Z,Series,Label 1,Label 2,Label 3,Label 4
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 15 of 25,3.352794885635376,10,10,-4,1,Right Cerebrum,Sub-lobar,Caudate,Caudate Head
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 15 of 25,2.017916202545166,12,14,-4,1,Right Cerebrum,Sub-lobar,Caudate,Caudate Head
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 15 of 25,3.035672426223755,10,12,-2,1,Right Cerebrum,Sub-lobar,Caudate,Caudate Head
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 16 of 25,2.9290497303009033,-56,-8,-18,1,Left Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 21
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 16 of 25,2.021771192550659,-54,-8,-18,1,Left Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 21
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 16 of 25,2.635554313659668,-58,-6,-18,1,Left Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 21
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 17 of 25,3.035672426223755,24,-4,-16,1,Right Cerebrum,Limbic Lobe,Parahippocampus,Amygdala
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 17 of 25,2.0663018226623535,22,-6,-16,1,Right Cerebrum,Limbic Lobe,Parahippocampus,Amygdala
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 17 of 25,1.3213040828704834,22,-2,-14,1,Right Cerebrum,Limbic Lobe,Parahippocampus,Amygdala
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 18 of 25,3.011453866958618,-20,-6,-14,1,Left Cerebrum,Limbic Lobe,Parahippocampus,Amygdala
